gene	magma_p	magma_trait	magma_sig	transcriptome_sig	coloc_sig	fine_map_sig	evidence_count	integrated_score
1434	7.1668e-12	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	11.14467471498188
10564	2.9567e-11	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	10.529192738698152
5253	7.2169e-11	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	10.14164931240336
6925	2.4424e-10	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	9.612183208709395
158293	2.3222e-09	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	8.634100379276212
23196	3.064e-09	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	8.513711239039434
101927134	5.7081e-09	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	8.24350842710123
100113393	6.1719e-09	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	8.209581119193468
26765	6.1719e-09	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	8.209581119193468
692057	6.1719e-09	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	8.209581119193468
3838	1.1922e-08	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	7.923650882506541
2186	1.3667e-08	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	7.864326805580763
100847045	1.6157e-08	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	7.791639275021621
57169	3.4643e-08	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	7.460384506174587
441951	7.5943e-08	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	7.119512250787066
57451	8.3676e-08	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	7.077399088747457
55218	1.5711e-07	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	6.803796171378852
55777	1.8481e-07	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	6.73327453296808
91252	1.8716e-07	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	6.727786963479858
92	2.0465e-07	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	6.688988251018712
100616222	2.3457e-07	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	6.629727532150472
56923	3.4937e-07	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	6.456714390119621
55661	4.2174e-07	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	6.374955206299731
23360	5.0126e-07	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	6.299936950229121
23788	6.4502e-07	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	6.190426819077948
3745	6.6711e-07	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	6.175802549210603
23279	8.8947e-07	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	6.050868695195764
100499466	1.0106e-06	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	5.995420706097788
692108	1.2736e-06	SI__EUR_MM__trait3__Loneliness	True	False	False	False	1	5.894966949606406
