GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
400728       1     742750     765214      1       1  161316      0.12235      0.45131
79854        1     751585     772902      2       1  161316     -0.46438      0.67881
643837       1     752970     804826      5       2  161316      0.40611      0.34233
284593       1     793450     822182      3       2  161316       0.9234       0.1779
100130417    1     842197     865072     12       5  161316       1.1288      0.12948
107985728    1     845622     870984     15       6  161316       1.4554     0.072786
148398       1     849302     889954     25      10  161316      0.86733      0.19288
26155        1     869582     904636     17       6  161316   -0.0088719      0.50354
339451       1     885963     911099     10       5  161316      0.26424       0.3958
84069        1     891861     921245     14       6  161316     -0.17757      0.57047
84808        1     900577     927473     12       5  161316      -1.7252      0.95776
57801        1     924343     945477      8       3  161316     -0.95952      0.83135
9636         1     938876     959919      9       3  161316      -1.6096      0.94626
375790       1     945499    1001494     23       9  161316      -2.3433      0.99044
100288175    1     985113    1011833     15       7  161316      -2.1988      0.98606
105378948    1     991014    1014717      7       3  161316       -1.338      0.90955
401934       1     996346    1019686      9       3  161316      -1.3363      0.90928
54991        1    1007202    1061469     22       6  161316      0.08971      0.46426
254099       1    1062396    1089434      8       5  161316     -0.57844      0.71852
406984       1    1092483    1112578      8       4  161316      -1.8212      0.96571
406983       1    1093242    1113332      9       5  161316      -2.0862      0.98152
554210       1    1094384    1114467      9       5  161316      -2.0862      0.98152
254173       1    1099259    1143315     26      10  161316      -1.0097      0.84368
8784         1    1128887    1151972     14       5  161316     -0.16401      0.56514
7293         1    1136719    1159533     13       5  161316    -0.062216       0.5248
51150        1    1142310    1177381     20       5  161316     -0.19878      0.57878
126792       1    1157616    1180420     15       2  161316     -0.34917      0.63652
388581       1    1167832    1192102     13       3  161316     -0.27746      0.60929
118424       1    1179291    1219234     16       6  161316     -0.71585      0.76296
6339         1    1205815    1237409     12       4  161316      -1.0195      0.84603
116983       1    1217770    1253310     12       5  161316      -1.4122      0.92105
102465434    1    1221489    1241550      7       3  161316      -0.6175      0.73155
109623456    1    1230108    1250192      7       2  161316     -0.66121      0.74576
126789       1    1233959    1257057      8       3  161316      -0.8391      0.79929
54973        1    1236964    1270067     11       3  161316     -0.85714      0.80432
102465435    1    1237881    1257946      8       3  161316      -0.8283      0.79625
80772        1    1250181    1274276      6       2  161316     -0.25097      0.59908
83756        1    1256659    1280694      4       2  161316    -0.046133       0.5184
1855         1    1260657    1294798      4       2  161316     -0.29655      0.61659
102466740    1    1265029    1285088      2       1  161316      0.38333      0.35074
54587        1    1278068    1308921      8       2  161316      -1.4755      0.92996
54998        1    1299115    1320587     10       4  161316      -1.6498      0.95051
81669        1    1311090    1344722      9       2  161316      -0.6439      0.74018
148413       1    1324909    1347426      5       2  161316     -0.39951      0.65524
55052        1    1327288    1352673      5       2  161316     -0.39951      0.65524
441869       1    1343799    1366824      3       1  161316     -0.64044      0.73906
102724312    1    1355536    1379953      3       1  161316     -0.55617      0.71095
64856        1    1361069    1388262      3       1  161316     -0.47061      0.68104
219293       1    1375068    1415542      1       1  161316     -0.38959      0.65158
55210        1    1437541    1480067     11       3  161316     -0.51136      0.69545
