GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
400728       1     742750     765214      1       1  187863      0.30733       0.3793
79854        1     751585     772902      2       1  187863    -0.026242      0.51047
643837       1     752970     804826      5       2  187863     -0.10652      0.54242
284593       1     793450     822182      3       2  187863     -0.71031      0.76124
100130417    1     842197     865072     12       5  187863       1.2067      0.11377
107985728    1     845622     870984     15       6  187863       1.0319      0.15107
148398       1     849302     889954     25      10  187863      0.93939      0.17377
26155        1     869582     904636     17       6  187863      0.20079      0.42043
339451       1     885963     911099     10       5  187863     -0.23662      0.59353
84069        1     891861     921245     14       6  187863     -0.24187      0.59556
84808        1     900577     927473     12       5  187863     -0.17807      0.57067
57801        1     924343     945477      8       3  187863      0.20387      0.41923
9636         1     938876     959919      9       3  187863      -0.9786      0.83611
375790       1     945499    1001494     23       9  187863     -0.77264      0.78013
100288175    1     985113    1011833     15       7  187863     0.078096      0.46888
105378948    1     991014    1014717      7       3  187863      0.57334      0.28321
401934       1     996346    1019686      9       3  187863      0.67907      0.24855
54991        1    1007202    1061469     22       6  187863       0.1546      0.43857
254099       1    1062396    1089434      8       5  187863      0.27733      0.39076
406984       1    1092483    1112578      8       4  187863      -1.5807      0.94302
406983       1    1093242    1113332      9       5  187863      -1.8023      0.96425
554210       1    1094384    1114467      9       5  187863      -1.8023      0.96425
254173       1    1099259    1143315     26      10  187863      0.19984       0.4208
8784         1    1128887    1151972     14       5  187863       0.4711      0.31878
7293         1    1136719    1159533     13       5  187863     -0.31578      0.62392
51150        1    1142310    1177381     20       5  187863       -1.021      0.84637
126792       1    1157616    1180420     15       2  187863      -1.7163      0.95695
388581       1    1167832    1192102     13       3  187863       -1.876      0.96967
118424       1    1179291    1219234     16       6  187863     -0.88645      0.81231
6339         1    1205815    1237409     12       4  187863     -0.27511      0.60838
116983       1    1217770    1253310     12       5  187863       0.7201      0.23573
102465434    1    1221489    1241550      7       3  187863      0.84508      0.19903
109623456    1    1230108    1250192      7       2  187863      0.79422      0.21353
126789       1    1233959    1257057      8       3  187863       1.3929     0.081829
54973        1    1236964    1270067     11       3  187863       1.9228     0.027253
102465435    1    1237881    1257946      8       3  187863       1.7431     0.040662
80772        1    1250181    1274276      6       2  187863        2.293     0.010925
83756        1    1256659    1280694      4       2  187863       2.4122    0.0079289
1855         1    1260657    1294798      4       2  187863       1.9454     0.025863
102466740    1    1265029    1285088      2       1  187863       1.8712     0.030657
54587        1    1278068    1308921      8       2  187863       1.9117      0.02796
54998        1    1299115    1320587     10       4  187863       2.2966     0.010822
81669        1    1311090    1344722      9       2  187863       2.2693     0.011624
148413       1    1324909    1347426      5       2  187863       2.0947     0.018098
55052        1    1327288    1352673      5       2  187863       2.0947     0.018098
441869       1    1343799    1366824      3       1  187863        1.298     0.097145
102724312    1    1355536    1379953      3       1  187863      0.26243      0.39649
64856        1    1361069    1388262      3       1  187863      0.95924      0.16872
219293       1    1375068    1415542      1       1  187863       1.7413     0.040813
55210        1    1437541    1480067     11       3  187863     -0.32371      0.62692
339453       1    1460157    1486004      8       3  187863     -0.11535      0.54591
29101        1    1467052    1520243     16       6  187863     -0.16213       0.5644
643988       1    1523391    1545515      3       1  187863        1.249      0.10584
105378586    1    1524812    1552590      8       3  187863       1.1275      0.12976
142678       1    1540794    1575990      8       4  187863      0.49359       0.3108
8510         1    1557551    1580030      1       1  187863       0.3566      0.36069
8511         1    1558158    1643247     13       6  187863       1.0755      0.14108
984          1    1560602    1665769     14       7  187863       1.0056      0.15729
728661       1    1582938    1634234     11       5  187863       1.2636      0.10319
728642       1    1623817    1665796      2       1  187863     -0.71295      0.76206
9906         1    1646276    1687438      3       2  187863      0.96347      0.16766
65220        1    1672670    1721470     14       5  187863       1.1783      0.11934
2782         1    1706723    1832556     40       8  187863         1.39     0.082265
163688       1    1836698    1858735     10       3  187863      0.82006      0.20609
339456       1    1839029    1860718     11       3  187863      0.97002      0.16602
85452        1    1843395    1945225     39      14  187863     -0.56314      0.71333
2563         1    1940783    1972197      9       3  187863     -0.98996       0.8389
5590         1    1971849    2126838     65      13  187863      0.55996      0.28775
100506504    1    2103232    2125314      8       3  187863      0.42441      0.33563
199990       1    2105898    2154159     10       3  187863      0.30244      0.38116
112268219    1    2111236    2133897      5       2  187863      0.22686      0.41027
6497         1    2149757    2251652     36      15  187863        1.434     0.075789
79906        1    2242691    2332993     58      22  187863      0.20463      0.41893
100129534    1    2271853    2294100     18       6  187863       1.5133       0.0651
11079        1    2313279    2346875     25       8  187863     -0.24704      0.59756
5192         1    2325412    2355266     24       8  187863      0.25319      0.40006
9651         1    2388889    2446971     17       8  187863       1.6286       0.0517
55229        1    2429975    2468035     14       5  187863       1.6258     0.051997
388585       1    2450183    2471702      8       3  187863       1.4832     0.069014
115110       1    2471358    2498450      5       2  187863      0.52006      0.30151
8764         1    2477803    2507061      9       2  187863      0.18806      0.42541
100996583    1    2487973    2525973     14       3  187863     -0.10933      0.54353
127281       1    2507961    2532907     15       3  187863      -1.4257      0.92302
79258        1    2512078    2574455     30       5  187863     -0.68616      0.75369
100287898    1    2562707    2727433     12       6  187863     0.040692      0.48377
