GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
400728       1     742750     765214      1       1  161035      0.11455       0.4544
79854        1     751585     772902      2       1  161035     -0.38158      0.64861
643837       1     752970     804826      5       2  161035      0.43721      0.33098
284593       1     793450     822182      3       2  161035       1.0178       0.1544
100130417    1     842197     865072     12       5  161035       1.2727      0.10156
107985728    1     845622     870984     15       6  161035       1.5168     0.064661
148398       1     849302     889954     25      10  161035       1.2377      0.10791
26155        1     869582     904636     17       6  161035      0.63258      0.26351
339451       1     885963     911099     10       5  161035      0.86808      0.19267
84069        1     891861     921245     14       6  161035       0.2089      0.41726
84808        1     900577     927473     12       5  161035      -1.6819      0.95371
57801        1     924343     945477      8       3  161035      -1.4344      0.92428
9636         1     938876     959919      9       3  161035      -1.6881      0.95431
375790       1     945499    1001494     23       9  161035      -2.7269       0.9968
100288175    1     985113    1011833     15       7  161035       -2.206      0.98631
105378948    1     991014    1014717      7       3  161035       -1.046      0.85222
401934       1     996346    1019686      9       3  161035     -0.99856        0.841
54991        1    1007202    1061469     22       6  161035     -0.20349      0.58062
254099       1    1062396    1089434      8       5  161035     -0.88196       0.8111
406984       1    1092483    1112578      8       4  161035      -1.8857      0.97034
406983       1    1093242    1113332      9       5  161035      -2.0846      0.98145
554210       1    1094384    1114467      9       5  161035      -2.0846      0.98145
254173       1    1099259    1143315     26      10  161035      -1.4738      0.92973
8784         1    1128887    1151972     14       5  161035     -0.38507      0.64991
7293         1    1136719    1159533     13       5  161035      -0.4514      0.67415
51150        1    1142310    1177381     20       5  161035     -0.55348      0.71003
126792       1    1157616    1180420     15       2  161035      -0.6663      0.74739
388581       1    1167832    1192102     13       3  161035     -0.61325      0.73014
118424       1    1179291    1219234     16       6  161035      -1.6074      0.94602
6339         1    1205815    1237409     12       4  161035       -1.549      0.93931
116983       1    1217770    1253310     12       5  161035     -0.84546      0.80107
102465434    1    1221489    1241550      7       3  161035    -0.057517      0.52293
109623456    1    1230108    1250192      7       2  161035    -0.036198      0.51444
126789       1    1233959    1257057      8       3  161035     -0.26341      0.60388
54973        1    1236964    1270067     11       3  161035     -0.30985      0.62166
102465435    1    1237881    1257946      8       3  161035     -0.26268       0.6036
80772        1    1250181    1274276      6       2  161035     0.048683      0.48059
83756        1    1256659    1280694      4       2  161035      0.28883      0.38636
1855         1    1260657    1294798      4       2  161035      0.10011      0.46013
102466740    1    1265029    1285088      2       1  161035      0.59879      0.27466
54587        1    1278068    1308921      8       2  161035     -0.63564       0.7375
54998        1    1299115    1320587     10       4  161035      -1.4903      0.93193
81669        1    1311090    1344722      9       2  161035     -0.44509      0.67187
148413       1    1324909    1347426      5       2  161035     -0.20098      0.57964
55052        1    1327288    1352673      5       2  161035     -0.20098      0.57964
441869       1    1343799    1366824      3       1  161035     -0.58258      0.71991
102724312    1    1355536    1379953      3       1  161035      -0.6001      0.72578
64856        1    1361069    1388262      3       1  161035     -0.65102      0.74248
219293       1    1375068    1415542      1       1  161035       -1.368      0.91435
55210        1    1437541    1480067     11       3  161035     -0.70561      0.75978
339453       1    1460157    1486004      8       3  161035      -0.6078      0.72834
29101        1    1467052    1520243     16       6  161035     -0.32589      0.62774
643988       1    1523391    1545515      3       1  161035       1.5671     0.058548
105378586    1    1524812    1552590      8       3  161035       1.0032      0.15789
142678       1    1540794    1575990      8       4  161035      0.17869      0.42909
8510         1    1557551    1580030      1       1  161035     -0.59572      0.72432
8511         1    1558158    1643247     13       6  161035      -1.8084      0.96473
984          1    1560602    1665769     14       7  161035      -1.4758      0.92999
728661       1    1582938    1634234     11       5  161035      -1.4874      0.93154
728642       1    1623817    1665796      2       1  161035      0.13155      0.44767
9906         1    1646276    1687438      3       2  161035     -0.34191      0.63379
