GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
400728       1     742750     765214      1       1  158146      -1.2362      0.89182
79854        1     751585     772902      2       1  158146      -1.0529      0.85381
643837       1     752970     804826      5       2  158146     -0.10584      0.54215
284593       1     793450     822182      3       2  158146      0.84696      0.19851
100130417    1     842197     865072     12       5  158146        1.717     0.042992
107985728    1     845622     870984     15       6  158146       1.9597     0.025016
148398       1     849302     889954     25      10  158146         1.25      0.10564
26155        1     869582     904636     17       6  158146     -0.16056      0.56378
339451       1     885963     911099     10       5  158146   -0.0024044      0.50096
84069        1     891861     921245     14       6  158146    -0.082188      0.53275
84808        1     900577     927473     12       5  158146      0.52436      0.30002
57801        1     924343     945477      8       3  158146      0.11685      0.45349
9636         1     938876     959919      9       3  158146      0.25483      0.39943
375790       1     945499    1001494     23       9  158146   -0.0057073      0.50228
100288175    1     985113    1011833     15       7  158146      -1.0096      0.84365
105378948    1     991014    1014717      7       3  158146       -2.001      0.97731
401934       1     996346    1019686      9       3  158146      -2.1553      0.98443
54991        1    1007202    1061469     22       6  158146     -0.69039      0.75503
254099       1    1062396    1089434      8       5  158146      0.26489      0.39555
406984       1    1092483    1112578      8       4  158146      0.34564      0.36481
406983       1    1093242    1113332      9       5  158146      0.14223      0.44345
554210       1    1094384    1114467      9       5  158146      0.14223      0.44345
254173       1    1099259    1143315     26      10  158146      -1.0271      0.84781
8784         1    1128887    1151972     14       5  158146     -0.43812      0.66935
7293         1    1136719    1159533     13       5  158146      0.27908      0.39009
51150        1    1142310    1177381     20       5  158146      0.27976      0.38983
126792       1    1157616    1180420     15       2  158146     -0.24661       0.5974
388581       1    1167832    1192102     13       3  158146     -0.16794      0.56669
118424       1    1179291    1219234     16       6  158146     -0.73955      0.77021
6339         1    1205815    1237409     12       4  158146      -1.3315      0.90849
116983       1    1217770    1253310     12       5  158146      -2.5911      0.99522
102465434    1    1221489    1241550      7       3  158146      -1.9938      0.97691
109623456    1    1230108    1250192      7       2  158146      -2.7282      0.99682
126789       1    1233959    1257057      8       3  158146      -2.0299      0.97882
54973        1    1236964    1270067     11       3  158146      -1.3235      0.90716
102465435    1    1237881    1257946      8       3  158146      -1.7066      0.95606
80772        1    1250181    1274276      6       2  158146     -0.32653      0.62799
83756        1    1256659    1280694      4       2  158146     -0.21487      0.58507
1855         1    1260657    1294798      4       2  158146     -0.32233       0.6264
102466740    1    1265029    1285088      2       1  158146      0.23697      0.40634
54587        1    1278068    1308921      8       2  158146      -1.0024      0.84193
54998        1    1299115    1320587     10       4  158146     -0.66464      0.74686
81669        1    1311090    1344722      9       2  158146      0.07849      0.46872
148413       1    1324909    1347426      5       2  158146      0.30141      0.38155
55052        1    1327288    1352673      5       2  158146      0.30141      0.38155
441869       1    1343799    1366824      3       1  158146   0.00061539      0.49975
102724312    1    1355536    1379953      3       1  158146      0.59741      0.27512
64856        1    1361069    1388262      3       1  158146      0.95694       0.1693
219293       1    1375068    1415542      1       1  158146      0.85191      0.19713
55210        1    1437541    1480067     11       3  158146      0.44303      0.32887
339453       1    1460157    1486004      8       3  158146    -0.046352      0.51849
29101        1    1467052    1520243     16       6  158146      0.36374      0.35803
643988       1    1523391    1545515      3       1  158146       2.7083    0.0033812
105378586    1    1524812    1552590      8       3  158146       2.1282     0.016659
142678       1    1540794    1575990      8       4  158146       1.2794      0.10038
8510         1    1557551    1580030      1       1  158146     -0.19911      0.57891
8511         1    1558158    1643247     13       6  158146      -0.1898      0.57527
