GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
400728       1     742750     765214      1       1  184835    0.0044074      0.49824
79854        1     751585     772902      2       1  184835      0.65779      0.25534
643837       1     752970     804826      5       2  184835      0.61257      0.27008
284593       1     793450     822182      3       2  184835      0.23686      0.40638
100130417    1     842197     865072     12       5  184835      -1.7819      0.96262
107985728    1     845622     870984     15       6  184835      -1.3644      0.91377
148398       1     849302     889954     25      10  184835      -1.5911      0.94421
26155        1     869582     904636     17       6  184835      -1.3895      0.91767
339451       1     885963     911099     10       5  184835      -1.2161      0.88803
84069        1     891861     921245     14       6  184835      0.90199      0.18353
84808        1     900577     927473     12       5  184835       1.5511     0.060438
57801        1     924343     945477      8       3  184835        2.222      0.01314
9636         1     938876     959919      9       3  184835       1.2389       0.1077
375790       1     945499    1001494     23       9  184835       0.1148       0.4543
100288175    1     985113    1011833     15       7  184835      -1.1621       0.8774
105378948    1     991014    1014717      7       3  184835       0.1092      0.45652
401934       1     996346    1019686      9       3  184835        0.131      0.44789
54991        1    1007202    1061469     22       6  184835      0.70741      0.23966
254099       1    1062396    1089434      8       5  184835      -1.2872      0.90098
406984       1    1092483    1112578      8       4  184835      0.47179      0.31854
406983       1    1093242    1113332      9       5  184835       0.4397      0.33008
554210       1    1094384    1114467      9       5  184835       0.4397      0.33008
254173       1    1099259    1143315     26      10  184835      0.79891      0.21217
8784         1    1128887    1151972     14       5  184835      0.04693      0.48128
7293         1    1136719    1159533     13       5  184835       1.2085      0.11343
51150        1    1142310    1177381     20       5  184835      0.80035      0.21175
126792       1    1157616    1180420     15       2  184835      0.63772      0.26183
388581       1    1167832    1192102     13       3  184835       0.8137      0.20791
118424       1    1179291    1219234     16       6  184835     -0.37115      0.64474
6339         1    1205815    1237409     12       4  184835      0.34018      0.36686
116983       1    1217770    1253310     12       5  184835       1.6909     0.045425
102465434    1    1221489    1241550      7       3  184835       1.3418     0.089823
109623456    1    1230108    1250192      7       2  184835       1.6039     0.054367
126789       1    1233959    1257057      8       3  184835       2.0296     0.021197
54973        1    1236964    1270067     11       3  184835       2.2528     0.012137
102465435    1    1237881    1257946      8       3  184835       1.9086     0.028158
80772        1    1250181    1274276      6       2  184835       2.5852     0.004866
83756        1    1256659    1280694      4       2  184835       2.6106    0.0045191
1855         1    1260657    1294798      4       2  184835       2.8151    0.0024377
102466740    1    1265029    1285088      2       1  184835       3.3105    0.0004656
54587        1    1278068    1308921      8       2  184835       1.6747     0.046998
54998        1    1299115    1320587     10       4  184835       2.3937    0.0083392
81669        1    1311090    1344722      9       2  184835       2.6381    0.0041688
148413       1    1324909    1347426      5       2  184835       2.0879     0.018403
55052        1    1327288    1352673      5       2  184835       2.0879     0.018403
441869       1    1343799    1366824      3       1  184835       1.4667     0.071222
102724312    1    1355536    1379953      3       1  184835     -0.37172      0.64495
64856        1    1361069    1388262      3       1  184835      -2.6132      0.99552
219293       1    1375068    1415542      1       1  184835      -1.6555      0.95109
55210        1    1437541    1480067     11       3  184835       1.0842      0.13913
339453       1    1460157    1486004      8       3  184835      0.82298      0.20526
29101        1    1467052    1520243     16       6  184835       1.2817     0.099981
643988       1    1523391    1545515      3       1  184835       1.6338     0.051154
105378586    1    1524812    1552590      8       3  184835       1.6861     0.045887
142678       1    1540794    1575990      8       4  184835       1.2538      0.10495
8510         1    1557551    1580030      1       1  184835      -1.0965      0.86357
8511         1    1558158    1643247     13       6  184835      0.82447      0.20484
984          1    1560602    1665769     14       7  184835      0.71861      0.23619
728661       1    1582938    1634234     11       5  184835       1.0405      0.14906
728642       1    1623817    1665796      2       1  184835     -0.43098      0.66676
9906         1    1646276    1687438      3       2  184835      0.37963      0.35211
65220        1    1672670    1721470     14       5  184835       1.1769      0.11961
2782         1    1706723    1832556     40       8  184835       1.3866     0.082779
163688       1    1836698    1858735     10       3  184835      0.42566      0.33518
339456       1    1839029    1860718     11       3  184835      0.55813      0.28838
85452        1    1843395    1945225     39      14  184835      0.92585      0.17726
2563         1    1940783    1972197      9       3  184835      0.53176      0.29745
5590         1    1971849    2126838     65      13  184835      -1.2963      0.90256
100506504    1    2103232    2125314      8       3  184835     -0.71378      0.76232
199990       1    2105898    2154159     10       3  184835      -1.2696      0.89788
112268219    1    2111236    2133897      5       2  184835      -1.2459       0.8936
6497         1    2149757    2251652     36      15  184835       1.0994      0.13579
79906        1    2242691    2332993     58      22  184835      -1.2574       0.8957
100129534    1    2271853    2294100     18       6  184835      -1.6253      0.94795
11079        1    2313279    2346875     25       8  184835      0.35106      0.36277
5192         1    2325412    2355266     24       8  184835       1.0759      0.14098
9651         1    2388889    2446971     17       8  184835       3.2538   0.00056945
55229        1    2429975    2468035     14       5  184835       2.2423     0.012471
388585       1    2450183    2471702      8       3  184835       1.8989     0.028789
