GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
400728       1     742750     765214      1       1  187863      0.23327      0.40777
79854        1     751585     772902      2       1  187863      0.21502      0.41488
643837       1     752970     804826      5       2  187863      0.35495      0.36131
284593       1     793450     822182      3       2  187863     0.052945      0.47889
100130417    1     842197     865072     12       5  187863      -1.0417      0.85122
107985728    1     845622     870984     15       6  187863     -0.72067      0.76444
148398       1     849302     889954     25      10  187863      -1.5574      0.94031
26155        1     869582     904636     17       6  187863      -2.2504      0.98779
339451       1     885963     911099     10       5  187863      -2.0498      0.97981
84069        1     891861     921245     14       6  187863      0.36958      0.35585
84808        1     900577     927473     12       5  187863       1.1115      0.13318
57801        1     924343     945477      8       3  187863       1.8558     0.031742
9636         1     938876     959919      9       3  187863       1.1493      0.12521
375790       1     945499    1001494     23       9  187863      0.28481      0.38789
100288175    1     985113    1011833     15       7  187863     -0.83481      0.79809
105378948    1     991014    1014717      7       3  187863     0.087295      0.46522
401934       1     996346    1019686      9       3  187863     0.021985      0.49123
54991        1    1007202    1061469     22       6  187863      0.32778      0.37154
254099       1    1062396    1089434      8       5  187863        -1.37      0.91466
406984       1    1092483    1112578      8       4  187863    -0.072426      0.52887
406983       1    1093242    1113332      9       5  187863     -0.14029      0.55578
554210       1    1094384    1114467      9       5  187863     -0.14029      0.55578
254173       1    1099259    1143315     26      10  187863       1.0063      0.15713
8784         1    1128887    1151972     14       5  187863      0.41106      0.34051
7293         1    1136719    1159533     13       5  187863       1.1523       0.1246
51150        1    1142310    1177381     20       5  187863      0.49104       0.3117
126792       1    1157616    1180420     15       2  187863      0.10253      0.45917
388581       1    1167832    1192102     13       3  187863       0.1564      0.43786
118424       1    1179291    1219234     16       6  187863     0.018369      0.49267
6339         1    1205815    1237409     12       4  187863       1.1503      0.12501
116983       1    1217770    1253310     12       5  187863       2.2344     0.012727
102465434    1    1221489    1241550      7       3  187863       2.1026      0.01775
109623456    1    1230108    1250192      7       2  187863       2.2622     0.011842
126789       1    1233959    1257057      8       3  187863        2.494    0.0063149
54973        1    1236964    1270067     11       3  187863       2.6468    0.0040632
102465435    1    1237881    1257946      8       3  187863       2.2881     0.011066
80772        1    1250181    1274276      6       2  187863       2.7673     0.002826
83756        1    1256659    1280694      4       2  187863       2.7978    0.0025724
1855         1    1260657    1294798      4       2  187863       3.0241     0.001247
102466740    1    1265029    1285088      2       1  187863       3.2957   0.00049092
54587        1    1278068    1308921      8       2  187863       2.1206     0.016976
54998        1    1299115    1320587     10       4  187863       2.4323    0.0075026
81669        1    1311090    1344722      9       2  187863       2.7222    0.0032422
148413       1    1324909    1347426      5       2  187863         2.06     0.019701
55052        1    1327288    1352673      5       2  187863         2.06     0.019701
441869       1    1343799    1366824      3       1  187863       1.2089      0.11335
102724312    1    1355536    1379953      3       1  187863      -1.0194        0.846
64856        1    1361069    1388262      3       1  187863      -1.6599      0.95154
219293       1    1375068    1415542      1       1  187863      -2.0638      0.98048
55210        1    1437541    1480067     11       3  187863      0.90309      0.18324
339453       1    1460157    1486004      8       3  187863      0.72098      0.23546
29101        1    1467052    1520243     16       6  187863       1.2666      0.10265
643988       1    1523391    1545515      3       1  187863       1.7678     0.038548
105378586    1    1524812    1552590      8       3  187863       1.8945     0.029079
142678       1    1540794    1575990      8       4  187863       1.3466     0.089059
8510         1    1557551    1580030      1       1  187863      -2.1272       0.9833
8511         1    1558158    1643247     13       6  187863      0.56267      0.28683
984          1    1560602    1665769     14       7  187863      0.46638      0.32047
728661       1    1582938    1634234     11       5  187863      0.84114      0.20014
728642       1    1623817    1665796      2       1  187863     -0.80167      0.78863
9906         1    1646276    1687438      3       2  187863     -0.24471      0.59666
65220        1    1672670    1721470     14       5  187863        0.343       0.3658
2782         1    1706723    1832556     40       8  187863      0.33387      0.36924
163688       1    1836698    1858735     10       3  187863     -0.64725      0.74126
339456       1    1839029    1860718     11       3  187863     -0.52401      0.69986
85452        1    1843395    1945225     39      14  187863      0.52343      0.30034
2563         1    1940783    1972197      9       3  187863       1.3561     0.087539
5590         1    1971849    2126838     65      13  187863      -1.0346      0.84956
100506504    1    2103232    2125314      8       3  187863     -0.82344      0.79487
199990       1    2105898    2154159     10       3  187863      -1.5836      0.94336
112268219    1    2111236    2133897      5       2  187863      -1.1864      0.88227
6497         1    2149757    2251652     36      15  187863       0.8312      0.20293
79906        1    2242691    2332993     58      22  187863      -1.4929      0.93226
100129534    1    2271853    2294100     18       6  187863      -1.8434      0.96736
11079        1    2313279    2346875     25       8  187863     -0.22933      0.59069
5192         1    2325412    2355266     24       8  187863      0.51586      0.30297
9651         1    2388889    2446971     17       8  187863       3.4948   0.00023724
55229        1    2429975    2468035     14       5  187863       2.0962     0.018031
388585       1    2450183    2471702      8       3  187863       1.6648     0.047972
115110       1    2471358    2498450      5       2  187863      -1.5894      0.94401
8764         1    2477803    2507061      9       2  187863      -1.3162      0.90595
100996583    1    2487973    2525973     14       3  187863      -1.3009      0.90335
127281       1    2507961    2532907     15       3  187863      -1.3163      0.90597
79258        1    2512078    2574455     30       5  187863     0.088237      0.46484
100287898    1    2562707    2727433     12       6  187863     -0.86315      0.80597
140625       1    2928030    2949467      7       3  187863      -1.2997      0.90315
440556       1    2966180    2994289      9       4  187863      0.16609      0.43404
