GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
400728       1     742750     765214      1       1  161316     -0.49143      0.68844
79854        1     751585     772902      2       1  161316     -0.94512       0.8277
643837       1     752970     804826      5       2  161316       -1.112      0.86693
284593       1     793450     822182      3       2  161316      -1.7876      0.96308
100130417    1     842197     865072     12       5  161316      -0.4103      0.65921
107985728    1     845622     870984     15       6  161316     -0.59873      0.72532
148398       1     849302     889954     25      10  161316      0.49614       0.3099
26155        1     869582     904636     17       6  161316       1.1173      0.13192
339451       1     885963     911099     10       5  161316       1.1226      0.13081
84069        1     891861     921245     14       6  161316      0.65697       0.2556
84808        1     900577     927473     12       5  161316      0.14425      0.44265
57801        1     924343     945477      8       3  161316     -0.43921      0.66974
9636         1     938876     959919      9       3  161316     -0.43959      0.66988
375790       1     945499    1001494     23       9  161316    -0.067372      0.52686
100288175    1     985113    1011833     15       7  161316       1.0262       0.1524
105378948    1     991014    1014717      7       3  161316       1.3706     0.085257
401934       1     996346    1019686      9       3  161316       1.5276     0.063312
54991        1    1007202    1061469     22       6  161316      0.60295      0.27327
254099       1    1062396    1089434      8       5  161316       0.2196      0.41309
406984       1    1092483    1112578      8       4  161316     -0.49948      0.69128
406983       1    1093242    1113332      9       5  161316     -0.72999       0.7673
554210       1    1094384    1114467      9       5  161316     -0.72999       0.7673
254173       1    1099259    1143315     26      10  161316      0.03896      0.48446
8784         1    1128887    1151972     14       5  161316     0.079624      0.46827
7293         1    1136719    1159533     13       5  161316     -0.85565       0.8039
51150        1    1142310    1177381     20       5  161316     -0.67812      0.75115
126792       1    1157616    1180420     15       2  161316     -0.43116      0.66682
388581       1    1167832    1192102     13       3  161316     -0.60387      0.72703
118424       1    1179291    1219234     16       6  161316       -1.724      0.95765
6339         1    1205815    1237409     12       4  161316     -0.83035      0.79683
116983       1    1217770    1253310     12       5  161316     -0.14802      0.55884
102465434    1    1221489    1241550      7       3  161316     -0.43772       0.6692
109623456    1    1230108    1250192      7       2  161316     -0.70389      0.75925
126789       1    1233959    1257057      8       3  161316     -0.48096      0.68473
54973        1    1236964    1270067     11       3  161316       -0.278      0.60949
102465435    1    1237881    1257946      8       3  161316      -0.3264      0.62794
80772        1    1250181    1274276      6       2  161316    -0.084855      0.53381
83756        1    1256659    1280694      4       2  161316     -0.19047      0.57553
1855         1    1260657    1294798      4       2  161316     -0.44322       0.6712
