locus_id	SNP	CHR	BP	P	method
locus_0001_chr2_50901796	rs78196477	2	50901796	2.5674420033461938e-08	distance
locus_0002_chr2_148673390	rs12622150	2	148673390	3.685326399993989e-08	distance
locus_0003_chr2_212752193	rs6727114	2	212752193	3.4241127277863354e-08	distance
locus_0004_chr5_151727891	rs4958529	5	151727891	3.6196093819116374e-09	distance
locus_0005_chr5_152251897	rs4404733	5	152251897	4.861896968726011e-10	distance
locus_0006_chr6_131159590	rs9385564	6	131159590	2.1207673421025696e-08	distance
locus_0007_chr9_77768122	rs773020	9	77768122	1.8784903111947382e-10	distance
locus_0008_chr9_96375217	rs10123378	9	96375217	2.3388840251635883e-11	distance
locus_0009_chr17_65875587	rs11867618	17	65875587	1.5552921469014166e-09	distance
locus_0010_chr18_53210302	rs613872	18	53210302	3.20173409728214e-17	distance
locus_0011_chr20_47893014	rs6122779	20	47893014	1.1155549100266567e-10	distance
