GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
400728       1     742750     765214      1       1  420146      0.50923       0.3053
79854        1     751585     772902      2       1  420146     -0.15212      0.56045
643837       1     752970     804826      5       2  420146      0.12534      0.45013
284593       1     793450     822182      3       2  420146      0.24297      0.40401
100130417    1     842197     865072     12       5  420146      -0.2476      0.59778
107985728    1     845622     870984     15       6  420146     -0.52979      0.70187
148398       1     849302     889954     25      10  420146      -1.0235      0.84696
26155        1     869582     904636     17       6  420146     -0.81853      0.79347
339451       1     885963     911099     10       5  420146     -0.66127      0.74578
84069        1     891861     921245     14       6  420146     -0.93755      0.82576
84808        1     900577     927473     12       5  420146      -1.4613      0.92803
57801        1     924343     945477      8       3  420146      -1.0335      0.84932
9636         1     938876     959919      9       3  420146      -1.3702      0.91468
375790       1     945499    1001494     23       9  420146      -1.2875      0.90103
100288175    1     985113    1011833     15       7  420146     -0.94976      0.82888
105378948    1     991014    1014717      7       3  420146     -0.49679      0.69033
401934       1     996346    1019686      9       3  420146     -0.70624      0.75998
54991        1    1007202    1061469     22       6  420146     -0.69254       0.7557
254099       1    1062396    1089434      8       5  420146      -1.3596      0.91303
406984       1    1092483    1112578      8       4  420146      -1.1328      0.87136
406983       1    1093242    1113332      9       5  420146     -0.80849       0.7906
554210       1    1094384    1114467      9       5  420146     -0.80849       0.7906
254173       1    1099259    1143315     26      10  420146      0.24174      0.40449
8784         1    1128887    1151972     14       5  420146      0.33535      0.36868
7293         1    1136719    1159533     13       5  420146     0.089954      0.46416
51150        1    1142310    1177381     20       5  420146     -0.34967      0.63671
126792       1    1157616    1180420     15       2  420146     -0.42497      0.66457
388581       1    1167832    1192102     13       3  420146     -0.22701      0.58979
118424       1    1179291    1219234     16       6  420146     -0.98725      0.83824
6339         1    1205815    1237409     12       4  420146       1.4113     0.079085
116983       1    1217770    1253310     12       5  420146       2.7662    0.0028356
102465434    1    1221489    1241550      7       3  420146       2.9204     0.001748
109623456    1    1230108    1250192      7       2  420146       2.8653    0.0020832
126789       1    1233959    1257057      8       3  420146       2.8436    0.0022302
54973        1    1236964    1270067     11       3  420146       2.7753    0.0027572
102465435    1    1237881    1257946      8       3  420146       2.6584    0.0039251
80772        1    1250181    1274276      6       2  420146       2.5652    0.0051555
83756        1    1256659    1280694      4       2  420146       2.7126    0.0033376
1855         1    1260657    1294798      4       2  420146       2.8157    0.0024337
102466740    1    1265029    1285088      2       1  420146       2.6719    0.0037713
54587        1    1278068    1308921      8       2  420146       2.2728     0.011518
54998        1    1299115    1320587     10       4  420146        1.684     0.046089
81669        1    1311090    1344722      9       2  420146       2.1084     0.017498
148413       1    1324909    1347426      5       2  420146       1.7636       0.0389
55052        1    1327288    1352673      5       2  420146       1.7636       0.0389
441869       1    1343799    1366824      3       1  420146       1.1068      0.13419
102724312    1    1355536    1379953      3       1  420146      0.37206      0.35493
64856        1    1361069    1388262      3       1  420146      0.38237       0.3511
219293       1    1375068    1415542      1       1  420146     -0.47996      0.68437
55210        1    1437541    1480067     11       3  420146      -2.3613      0.99089
339453       1    1460157    1486004      8       3  420146      -2.0743      0.98097
29101        1    1467052    1520243     16       6  420146      -0.5722      0.71641
643988       1    1523391    1545515      3       1  420146       3.0594    0.0011088
105378586    1    1524812    1552590      8       3  420146       2.5537    0.0053286
142678       1    1540794    1575990      8       4  420146       1.4428     0.074533
8510         1    1557551    1580030      1       1  420146     -0.37517      0.64623
8511         1    1558158    1643247     13       6  420146      0.65101      0.25752
984          1    1560602    1665769     14       7  420146      0.63435      0.26293
728661       1    1582938    1634234     11       5  420146      0.91745      0.17945
728642       1    1623817    1665796      2       1  420146     -0.25829      0.60191
