GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
400728       1     742750     765214      1       1  184835     -0.29504      0.61602
79854        1     751585     772902      2       1  184835     -0.38561      0.65011
643837       1     752970     804826      5       2  184835     -0.93364      0.82475
284593       1     793450     822182      3       2  184835      -0.8896      0.81316
100130417    1     842197     865072     12       5  184835      0.38244      0.35107
107985728    1     845622     870984     15       6  184835       0.3175      0.37543
148398       1     849302     889954     25      10  184835      0.33093      0.37035
26155        1     869582     904636     17       6  184835      0.11137      0.45566
339451       1     885963     911099     10       5  184835     -0.12271      0.54883
84069        1     891861     921245     14       6  184835      0.31949      0.37468
84808        1     900577     927473     12       5  184835       1.5303     0.062971
57801        1     924343     945477      8       3  184835       2.7413    0.0030594
9636         1     938876     959919      9       3  184835       1.6162     0.053023
375790       1     945499    1001494     23       9  184835      0.69497      0.24354
100288175    1     985113    1011833     15       7  184835     -0.39336      0.65297
105378948    1     991014    1014717      7       3  184835      0.34103      0.36654
401934       1     996346    1019686      9       3  184835      0.43952      0.33014
54991        1    1007202    1061469     22       6  184835      0.65729       0.2555
254099       1    1062396    1089434      8       5  184835      -0.4398      0.66996
406984       1    1092483    1112578      8       4  184835     -0.28164      0.61089
406983       1    1093242    1113332      9       5  184835     -0.44277      0.67103
554210       1    1094384    1114467      9       5  184835     -0.44277      0.67103
254173       1    1099259    1143315     26      10  184835     -0.86235      0.80575
8784         1    1128887    1151972     14       5  184835      -1.2521      0.89474
7293         1    1136719    1159533     13       5  184835      -1.1442      0.87372
51150        1    1142310    1177381     20       5  184835      -1.4677       0.9289
126792       1    1157616    1180420     15       2  184835      -1.6383      0.94932
388581       1    1167832    1192102     13       3  184835      -2.0285      0.97874
118424       1    1179291    1219234     16       6  184835      -1.5191      0.93563
6339         1    1205815    1237409     12       4  184835      0.76532      0.22204
116983       1    1217770    1253310     12       5  184835       2.1922     0.014182
102465434    1    1221489    1241550      7       3  184835       2.2068     0.013664
109623456    1    1230108    1250192      7       2  184835       2.1774     0.014725
126789       1    1233959    1257057      8       3  184835       2.6333    0.0042283
54973        1    1236964    1270067     11       3  184835       2.9214    0.0017422
102465435    1    1237881    1257946      8       3  184835       2.5653    0.0051546
80772        1    1250181    1274276      6       2  184835       3.1501   0.00081617
83756        1    1256659    1280694      4       2  184835       3.1369   0.00085381
1855         1    1260657    1294798      4       2  184835       3.1293   0.00087603
102466740    1    1265029    1285088      2       1  184835       3.1168   0.00091404
54587        1    1278068    1308921      8       2  184835         2.62     0.004397
54998        1    1299115    1320587     10       4  184835       2.8085    0.0024888
81669        1    1311090    1344722      9       2  184835       2.9997    0.0013513
148413       1    1324909    1347426      5       2  184835       2.4186    0.0077902
55052        1    1327288    1352673      5       2  184835       2.4186    0.0077902
441869       1    1343799    1366824      3       1  184835        1.409     0.079417
102724312    1    1355536    1379953      3       1  184835      -1.4829      0.93094
64856        1    1361069    1388262      3       1  184835      0.10348      0.45879
219293       1    1375068    1415542      1       1  184835       1.0834      0.13931
55210        1    1437541    1480067     11       3  184835      0.67023      0.25136
339453       1    1460157    1486004      8       3  184835      0.62866      0.26479
29101        1    1467052    1520243     16       6  184835       1.4314      0.07616
643988       1    1523391    1545515      3       1  184835       1.2533      0.10505
105378586    1    1524812    1552590      8       3  184835       1.2522      0.10525
142678       1    1540794    1575990      8       4  184835      0.65876      0.25503
8510         1    1557551    1580030      1       1  184835      -1.9604      0.97503
8511         1    1558158    1643247     13       6  184835      0.78008      0.21767
984          1    1560602    1665769     14       7  184835      0.65228      0.25711
728661       1    1582938    1634234     11       5  184835       1.0634      0.14379
728642       1    1623817    1665796      2       1  184835      -2.3299      0.99009
9906         1    1646276    1687438      3       2  184835     -0.57071       0.7159
65220        1    1672670    1721470     14       5  184835      0.36439      0.35778
2782         1    1706723    1832556     40       8  184835     0.086483      0.46554
163688       1    1836698    1858735     10       3  184835      0.59315      0.27654
339456       1    1839029    1860718     11       3  184835      0.61912      0.26792
85452        1    1843395    1945225     39      14  184835      0.75432      0.22533
2563         1    1940783    1972197      9       3  184835      0.31785       0.3753
5590         1    1971849    2126838     65      13  184835      -1.3355      0.90914
100506504    1    2103232    2125314      8       3  184835     -0.92155      0.82162
199990       1    2105898    2154159     10       3  184835      -1.2859      0.90077
112268219    1    2111236    2133897      5       2  184835      -1.3354      0.90912
6497         1    2149757    2251652     36      15  184835       1.7648     0.038803
79906        1    2242691    2332993     58      22  184835     -0.58116      0.71944
100129534    1    2271853    2294100     18       6  184835       -1.531      0.93711
11079        1    2313279    2346875     25       8  184835      0.66945       0.2516
5192         1    2325412    2355266     24       8  184835       1.1354       0.1281
9651         1    2388889    2446971     17       8  184835       3.8595   5.6807e-05
55229        1    2429975    2468035     14       5  184835       2.4478    0.0071875
388585       1    2450183    2471702      8       3  184835       2.1643     0.015221
115110       1    2471358    2498450      5       2  184835     -0.21021      0.58325
8764         1    2477803    2507061      9       2  184835     -0.60355      0.72693
100996583    1    2487973    2525973     14       3  184835      -0.8153      0.79255
127281       1    2507961    2532907     15       3  184835     -0.90961      0.81848
79258        1    2512078    2574455     30       5  184835      0.19146      0.42408
100287898    1    2562707    2727433     12       6  184835     -0.68012      0.75179
140625       1    2928030    2949467      7       3  184835     0.033529      0.48663
440556       1    2966180    2994289      9       4  184835    -0.082029      0.53269
63976        1    2975766    3365185    207      86  184835      -0.4613      0.67771
100422968    1    3034538    3054599      7       3  184835     -0.61077      0.72933
27237        1    3361228    3407677     21       3  184835     0.011347      0.49547
1953         1    3394514    3538072     73      33  184835       1.5108     0.065421
693135       1    3467259    3487354     10       5  184835    -0.096914       0.5386
127262       1    3531578    3556691     14       5  184835        1.914     0.027811
49856        1    3537333    3576667     28      10  184835       1.1511      0.12485
7161         1    3559079    3662765     58      26  184835       2.1278     0.016675
148870       1    3659013    3698209     31      12  184835        0.073       0.4709
388588       1    3679312    3702520     14       6  184835        1.367     0.085814
57470        1    3685122    3723062     19       9  184835       1.2396      0.10756
9731         1    3718650    3783775     37       7  184835      0.70355      0.24086
1677         1    3763830    3811993     38      12  184835      0.50549      0.30661
339448       1    3795696    3826836     26       8  184835      0.53089      0.29775
100133612    1    3806967    3842011     23       8  184835     -0.13051      0.55192
728716       1    3990671    4022643     27      13  184835     -0.57308      0.71671
105376672    1    3997208    4019040     20       9  184835       -0.333      0.63043
284661       1    4462110    4494744     24       7  184835     -0.64654      0.74104
105376679    1    4621546    4653764     22      10  184835      -1.8411      0.96719
55966        1    4704668    4862582    104      41  184835        1.254      0.10492
100616421    1    5912731    5932801     18       7  184835     -0.25805      0.60181
261734       1    5912870    6062485     86      16  184835      0.83484       0.2019
8514         1    6042735    6171240     49      24  184835      0.03493      0.48607
26038        1    6151846    6250381     38      11  184835      0.13624      0.44581
6146         1    6235079    6269655     12       6  184835      0.92729      0.17689
102724450    1    6254899    6275840     11       5  184835      0.52134      0.30106
388591       1    6256178    6291359     20       6  184835    -0.049434      0.51971
23463        1    6271252    6306024     18       5  184835     -0.69923       0.7578
390992       1    6294238    6315638      9       4  184835      -1.3785      0.91597
387509       1    6297412    6331158     17       5  184835      -1.4129      0.92116
11332        1    6314331    6463827     76      15  184835     -0.90648      0.81766
54626        1    6465293    6489979     12       3  184835      -1.4054      0.92006
83715        1    6474835    6531004     23       6  184835       -1.346      0.91085
100422975    1    6479893    6499956     10       3  184835      -1.0365      0.85002
8718         1    6510845    6536255     11       3  184835     -0.91903      0.82096
57449        1    6516151    6590152     37      10  184835      -2.1658      0.98484
79707        1    6571406    6624573     23       3  184835     -0.85393      0.80343
80835        1    6605366    6649815     24       9  184835     -0.42737      0.66544
3104         1    6630053    6659340     17       8  184835      0.15811      0.43718
