GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
400728       1     742750     765214      1       1  186811      0.36914      0.35601
79854        1     751585     772902      2       1  186811     -0.34947      0.63663
643837       1     752970     804826      5       2  186811     -0.29145      0.61465
284593       1     793450     822182      3       2  186811     -0.59968      0.72564
100130417    1     842197     865072     12       5  186811     -0.18714      0.57422
107985728    1     845622     870984     15       6  186811     -0.10124      0.54032
148398       1     849302     889954     25      10  186811     -0.30544      0.61999
26155        1     869582     904636     17       6  186811     -0.33035      0.62943
339451       1     885963     911099     10       5  186811     -0.56954       0.7155
84069        1     891861     921245     14       6  186811     -0.14259      0.55669
84808        1     900577     927473     12       5  186811      0.67016      0.25138
57801        1     924343     945477      8       3  186811        1.727     0.042085
9636         1     938876     959919      9       3  186811       1.2183      0.11156
375790       1     945499    1001494     23       9  186811      0.61188      0.27031
100288175    1     985113    1011833     15       7  186811     -0.34005      0.63309
105378948    1     991014    1014717      7       3  186811     0.064405      0.47432
401934       1     996346    1019686      9       3  186811    -0.039728      0.51584
54991        1    1007202    1061469     22       6  186811     0.087357      0.46519
254099       1    1062396    1089434      8       5  186811       -1.009      0.84352
406984       1    1092483    1112578      8       4  186811     -0.22363      0.58848
406983       1    1093242    1113332      9       5  186811     -0.39197      0.65246
554210       1    1094384    1114467      9       5  186811     -0.39197      0.65246
254173       1    1099259    1143315     26      10  186811      0.72071      0.23554
8784         1    1128887    1151972     14       5  186811        0.153       0.4392
7293         1    1136719    1159533     13       5  186811      0.12562      0.45002
51150        1    1142310    1177381     20       5  186811     -0.51167      0.69556
126792       1    1157616    1180420     15       2  186811     -0.69968      0.75794
388581       1    1167832    1192102     13       3  186811      -1.4637      0.92836
118424       1    1179291    1219234     16       6  186811     -0.15737      0.56252
6339         1    1205815    1237409     12       4  186811       1.6829     0.046195
116983       1    1217770    1253310     12       5  186811       2.7409    0.0030636
102465434    1    1221489    1241550      7       3  186811       2.7879    0.0026525
109623456    1    1230108    1250192      7       2  186811       2.7798    0.0027198
126789       1    1233959    1257057      8       3  186811       2.8664    0.0020758
54973        1    1236964    1270067     11       3  186811       2.9332    0.0016772
102465435    1    1237881    1257946      8       3  186811       2.6048    0.0045959
80772        1    1250181    1274276      6       2  186811       2.7916    0.0026227
83756        1    1256659    1280694      4       2  186811       2.7863    0.0026658
1855         1    1260657    1294798      4       2  186811       2.9915    0.0013882
102466740    1    1265029    1285088      2       1  186811       2.7577    0.0029107
54587        1    1278068    1308921      8       2  186811       2.5429    0.0054964
54998        1    1299115    1320587     10       4  186811       2.3045     0.010597
81669        1    1311090    1344722      9       2  186811       2.5481    0.0054158
148413       1    1324909    1347426      5       2  186811       1.7754     0.037919
55052        1    1327288    1352673      5       2  186811       1.7754     0.037919
441869       1    1343799    1366824      3       1  186811      0.81607      0.20723
102724312    1    1355536    1379953      3       1  186811      -1.3065      0.90431
64856        1    1361069    1388262      3       1  186811      -1.1063       0.8657
219293       1    1375068    1415542      1       1  186811     -0.30095      0.61827
55210        1    1437541    1480067     11       3  186811      0.30416       0.3805
339453       1    1460157    1486004      8       3  186811      0.30385      0.38062
29101        1    1467052    1520243     16       6  186811       1.0527      0.14624
643988       1    1523391    1545515      3       1  186811       1.3001     0.096781
105378586    1    1524812    1552590      8       3  186811       1.4299     0.076369
142678       1    1540794    1575990      8       4  186811      0.78699      0.21564
8510         1    1557551    1580030      1       1  186811      -1.3571      0.91262
8511         1    1558158    1643247     13       6  186811      0.10195       0.4594
984          1    1560602    1665769     14       7  186811     -0.04428      0.51766
728661       1    1582938    1634234     11       5  186811      0.40305      0.34346
