GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
400728       1     742750     765214      1       1  158146      -1.3313      0.90845
79854        1     751585     772902      2       1  158146      -1.5828      0.94327
643837       1     752970     804826      5       2  158146     0.056126      0.47762
284593       1     793450     822182      3       2  158146      0.81908      0.20637
100130417    1     842197     865072     12       5  158146       1.0842      0.13914
107985728    1     845622     870984     15       6  158146        1.352     0.088195
148398       1     849302     889954     25      10  158146      0.25026      0.40119
26155        1     869582     904636     17       6  158146      -1.5439       0.9387
339451       1     885963     911099     10       5  158146      -1.4322      0.92396
84069        1     891861     921245     14       6  158146     -0.97508      0.83524
84808        1     900577     927473     12       5  158146     -0.18872      0.57484
57801        1     924343     945477      8       3  158146      0.26631        0.395
9636         1     938876     959919      9       3  158146      -1.3013      0.90343
375790       1     945499    1001494     23       9  158146     -0.45451      0.67527
100288175    1     985113    1011833     15       7  158146     -0.79657      0.78715
105378948    1     991014    1014717      7       3  158146      -1.4253      0.92296
401934       1     996346    1019686      9       3  158146      -1.5324      0.93729
54991        1    1007202    1061469     22       6  158146     -0.75345      0.77441
254099       1    1062396    1089434      8       5  158146      0.56848      0.28486
406984       1    1092483    1112578      8       4  158146      0.95804      0.16902
406983       1    1093242    1113332      9       5  158146       0.7918      0.21424
554210       1    1094384    1114467      9       5  158146       0.7918      0.21424
254173       1    1099259    1143315     26      10  158146     -0.15149      0.56021
8784         1    1128887    1151972     14       5  158146     -0.66805      0.74795
7293         1    1136719    1159533     13       5  158146      0.31796      0.37526
51150        1    1142310    1177381     20       5  158146      0.29806      0.38283
126792       1    1157616    1180420     15       2  158146       0.2063      0.41828
388581       1    1167832    1192102     13       3  158146      0.18588      0.42627
118424       1    1179291    1219234     16       6  158146      0.35431      0.36155
6339         1    1205815    1237409     12       4  158146      0.24939      0.40153
116983       1    1217770    1253310     12       5  158146      -1.6225      0.94766
102465434    1    1221489    1241550      7       3  158146     -0.89885      0.81563
109623456    1    1230108    1250192      7       2  158146      -1.3945      0.91842
126789       1    1233959    1257057      8       3  158146      -1.9919      0.97681
54973        1    1236964    1270067     11       3  158146      -1.5183      0.93553
102465435    1    1237881    1257946      8       3  158146      -1.9787      0.97608
80772        1    1250181    1274276      6       2  158146     -0.48052      0.68457
83756        1    1256659    1280694      4       2  158146     -0.22319      0.58831
1855         1    1260657    1294798      4       2  158146     -0.17518      0.56953
102466740    1    1265029    1285088      2       1  158146      0.35782      0.36024
54587        1    1278068    1308921      8       2  158146      -1.3519      0.91179
54998        1    1299115    1320587     10       4  158146     -0.72808      0.76672
81669        1    1311090    1344722      9       2  158146     -0.61096      0.72939
148413       1    1324909    1347426      5       2  158146     -0.73761      0.76962
55052        1    1327288    1352673      5       2  158146     -0.73761      0.76962
441869       1    1343799    1366824      3       1  158146     -0.20681      0.58192
102724312    1    1355536    1379953      3       1  158146      0.26343      0.39611
64856        1    1361069    1388262      3       1  158146        0.698      0.24259
219293       1    1375068    1415542      1       1  158146      0.94727      0.17175
55210        1    1437541    1480067     11       3  158146      0.59276      0.27667
339453       1    1460157    1486004      8       3  158146     -0.34762      0.63594
29101        1    1467052    1520243     16       6  158146      0.02827      0.48872
643988       1    1523391    1545515      3       1  158146       2.3989    0.0082214
105378586    1    1524812    1552590      8       3  158146       1.4974      0.06715
142678       1    1540794    1575990      8       4  158146      0.11121      0.45573
8510         1    1557551    1580030      1       1  158146      -1.0115       0.8441
8511         1    1558158    1643247     13       6  158146     -0.50685      0.69387
984          1    1560602    1665769     14       7  158146     -0.66222      0.74608
728661       1    1582938    1634234     11       5  158146     -0.63386      0.73691
728642       1    1623817    1665796      2       1  158146       0.4283      0.33422
9906         1    1646276    1687438      3       2  158146     -0.43821      0.66938
65220        1    1672670    1721470     14       5  158146     -0.15922      0.56325
2782         1    1706723    1832556     40       8  158146     -0.25978      0.60248
163688       1    1836698    1858735     10       3  158146     -0.75419      0.77463
339456       1    1839029    1860718     11       3  158146     -0.80392      0.78928
85452        1    1843395    1945225     39      14  158146      0.16234      0.43552
2563         1    1940783    1972197      9       3  158146      0.81209      0.20837
5590         1    1971849    2126838     65      13  158146      0.24432      0.40349
