GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
400728       1     742750     765214      1       1  186811      0.29675      0.38333
79854        1     751585     772902      2       1  186811     -0.29862      0.61738
643837       1     752970     804826      5       2  186811    -0.070593      0.52814
284593       1     793450     822182      3       2  186811     0.049674      0.48019
100130417    1     842197     865072     12       5  186811     -0.56603      0.71431
107985728    1     845622     870984     15       6  186811     -0.38004      0.64804
148398       1     849302     889954     25      10  186811      -1.1436      0.87361
26155        1     869582     904636     17       6  186811      -1.6296       0.9484
339451       1     885963     911099     10       5  186811      -1.6524      0.95077
84069        1     891861     921245     14       6  186811     -0.40508      0.65729
84808        1     900577     927473     12       5  186811      0.23091      0.40869
57801        1     924343     945477      8       3  186811       1.0585      0.14491
9636         1     938876     959919      9       3  186811      0.72199      0.23515
375790       1     945499    1001494     23       9  186811       0.3073      0.37931
100288175    1     985113    1011833     15       7  186811     -0.48825      0.68731
105378948    1     991014    1014717      7       3  186811    -0.047137       0.5188
401934       1     996346    1019686      9       3  186811     -0.19794      0.57845
54991        1    1007202    1061469     22       6  186811     -0.19415      0.57697
254099       1    1062396    1089434      8       5  186811      -1.1263      0.86997
406984       1    1092483    1112578      8       4  186811     -0.37149      0.64486
406983       1    1093242    1113332      9       5  186811      -0.5196      0.69833
554210       1    1094384    1114467      9       5  186811      -0.5196      0.69833
254173       1    1099259    1143315     26      10  186811      0.97785      0.16407
8784         1    1128887    1151972     14       5  186811      0.46566      0.32073
7293         1    1136719    1159533     13       5  186811      0.82319       0.2052
51150        1    1142310    1177381     20       5  186811     0.025124      0.48998
126792       1    1157616    1180420     15       2  186811     -0.48163      0.68496
388581       1    1167832    1192102     13       3  186811     -0.85108      0.80264
118424       1    1179291    1219234     16       6  186811      0.35364      0.36181
6339         1    1205815    1237409     12       4  186811       1.6779     0.046687
116983       1    1217770    1253310     12       5  186811       2.5317    0.0056753
102465434    1    1221489    1241550      7       3  186811        2.486      0.00646
109623456    1    1230108    1250192      7       2  186811       2.5632    0.0051849
126789       1    1233959    1257057      8       3  186811       2.6141    0.0044726
54973        1    1236964    1270067     11       3  186811       2.6748    0.0037392
102465435    1    1237881    1257946      8       3  186811       2.3437    0.0095463
80772        1    1250181    1274276      6       2  186811       2.5547    0.0053141
83756        1    1256659    1280694      4       2  186811       2.5782    0.0049657
1855         1    1260657    1294798      4       2  186811         2.82    0.0024015
102466740    1    1265029    1285088      2       1  186811       2.7792    0.0027247
54587        1    1278068    1308921      8       2  186811       2.2161     0.013341
54998        1    1299115    1320587     10       4  186811       2.0972     0.017987
81669        1    1311090    1344722      9       2  186811       2.4023    0.0081452
148413       1    1324909    1347426      5       2  186811       1.6584     0.048617
55052        1    1327288    1352673      5       2  186811       1.6584     0.048617
441869       1    1343799    1366824      3       1  186811      0.75186      0.22607
102724312    1    1355536    1379953      3       1  186811      -1.0449      0.85197
64856        1    1361069    1388262      3       1  186811      -1.1018      0.86473
219293       1    1375068    1415542      1       1  186811      -2.3035      0.98937
55210        1    1437541    1480067     11       3  186811      0.37993        0.352
339453       1    1460157    1486004      8       3  186811      0.31385      0.37682
29101        1    1467052    1520243     16       6  186811      0.89863      0.18443
643988       1    1523391    1545515      3       1  186811       1.5642     0.058884
105378586    1    1524812    1552590      8       3  186811       1.7308     0.041741
142678       1    1540794    1575990      8       4  186811       1.1525      0.12456
8510         1    1557551    1580030      1       1  186811     -0.98123      0.83676
8511         1    1558158    1643247     13       6  186811      0.20464      0.41893
984          1    1560602    1665769     14       7  186811        0.112      0.45541
728661       1    1582938    1634234     11       5  186811      0.50961      0.30516
728642       1    1623817    1665796      2       1  186811     -0.90967       0.8185
9906         1    1646276    1687438      3       2  186811     -0.81509      0.79249
65220        1    1672670    1721470     14       5  186811     -0.87346      0.80879
2782         1    1706723    1832556     40       8  186811      -1.1708      0.87916
163688       1    1836698    1858735     10       3  186811    -0.012675      0.50506
339456       1    1839029    1860718     11       3  186811    -0.096741      0.53853
85452        1    1843395    1945225     39      14  186811      0.74908      0.22691
2563         1    1940783    1972197      9       3  186811       1.8873     0.029561
5590         1    1971849    2126838     65      13  186811     -0.90773      0.81799
100506504    1    2103232    2125314      8       3  186811     -0.93743      0.82573
199990       1    2105898    2154159     10       3  186811      -1.6391       0.9494
112268219    1    2111236    2133897      5       2  186811     -0.80126      0.78851
6497         1    2149757    2251652     36      15  186811      0.13212      0.44744
79906        1    2242691    2332993     58      22  186811       -1.303      0.90371
100129534    1    2271853    2294100     18       6  186811      -1.3932      0.91822
