GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
400728       1     742750     765214      1       1  161035   -0.0015221      0.50061
79854        1     751585     772902      2       1  161035     -0.55738      0.71137
643837       1     752970     804826      5       2  161035      0.38542      0.34996
284593       1     793450     822182      3       2  161035       1.0501      0.14684
100130417    1     842197     865072     12       5  161035       1.1552      0.12401
107985728    1     845622     870984     15       6  161035       1.4025     0.080382
148398       1     849302     889954     25      10  161035       1.1982      0.11541
26155        1     869582     904636     17       6  161035      0.67893      0.24859
339451       1     885963     911099     10       5  161035      0.91068      0.18123
84069        1     891861     921245     14       6  161035      0.13358      0.44687
84808        1     900577     927473     12       5  161035      -1.5723      0.94207
57801        1     924343     945477      8       3  161035      -1.6987      0.95531
9636         1     938876     959919      9       3  161035      -1.5513      0.93958
375790       1     945499    1001494     23       9  161035      -2.4172      0.99218
100288175    1     985113    1011833     15       7  161035      -2.1734      0.98512
105378948    1     991014    1014717      7       3  161035     -0.90727      0.81787
401934       1     996346    1019686      9       3  161035     -0.85257      0.80305
54991        1    1007202    1061469     22       6  161035     -0.53794      0.70469
254099       1    1062396    1089434      8       5  161035     -0.93191      0.82431
406984       1    1092483    1112578      8       4  161035      -1.5754      0.94242
406983       1    1093242    1113332      9       5  161035       -1.729      0.95809
554210       1    1094384    1114467      9       5  161035       -1.729      0.95809
254173       1    1099259    1143315     26      10  161035      -1.8334      0.96663
8784         1    1128887    1151972     14       5  161035     -0.47285      0.68184
7293         1    1136719    1159533     13       5  161035     -0.58061      0.71925
51150        1    1142310    1177381     20       5  161035     -0.54521       0.7072
126792       1    1157616    1180420     15       2  161035     -0.63743      0.73808
388581       1    1167832    1192102     13       3  161035     -0.56872      0.71523
118424       1    1179291    1219234     16       6  161035      -2.0018      0.97734
6339         1    1205815    1237409     12       4  161035      -1.7103       0.9564
116983       1    1217770    1253310     12       5  161035     -0.55607      0.71092
102465434    1    1221489    1241550      7       3  161035      0.22303      0.41176
109623456    1    1230108    1250192      7       2  161035      0.23897      0.40556
126789       1    1233959    1257057      8       3  161035      0.02874      0.48854
54973        1    1236964    1270067     11       3  161035      0.01024      0.49591
102465435    1    1237881    1257946      8       3  161035     0.054698      0.47819
80772        1    1250181    1274276      6       2  161035       0.2802      0.38966
83756        1    1256659    1280694      4       2  161035      0.52037       0.3014
1855         1    1260657    1294798      4       2  161035      0.35927       0.3597
102466740    1    1265029    1285088      2       1  161035      0.72515      0.23418
54587        1    1278068    1308921      8       2  161035      -0.1394      0.55543
54998        1    1299115    1320587     10       4  161035      -1.0822      0.86041
81669        1    1311090    1344722      9       2  161035     -0.16151      0.56416
148413       1    1324909    1347426      5       2  161035      0.05263      0.47901
55052        1    1327288    1352673      5       2  161035      0.05263      0.47901
441869       1    1343799    1366824      3       1  161035     -0.42143      0.66328
102724312    1    1355536    1379953      3       1  161035     -0.35592      0.63905
64856        1    1361069    1388262      3       1  161035      -0.3425      0.63401
219293       1    1375068    1415542      1       1  161035     -0.62885      0.73528
55210        1    1437541    1480067     11       3  161035     -0.70171      0.75857
339453       1    1460157    1486004      8       3  161035     -0.55417      0.71027
29101        1    1467052    1520243     16       6  161035     -0.19984       0.5792
643988       1    1523391    1545515      3       1  161035       1.4584     0.072367
105378586    1    1524812    1552590      8       3  161035       1.0734      0.14155
142678       1    1540794    1575990      8       4  161035      0.42877      0.33404
8510         1    1557551    1580030      1       1  161035     -0.25495      0.60062
8511         1    1558158    1643247     13       6  161035      -2.1881      0.98567
984          1    1560602    1665769     14       7  161035      -1.7867      0.96301
728661       1    1582938    1634234     11       5  161035      -1.9282      0.97309
728642       1    1623817    1665796      2       1  161035     0.070348      0.47196
9906         1    1646276    1687438      3       2  161035     -0.33836      0.63245
65220        1    1672670    1721470     14       5  161035      -0.1053      0.54193
2782         1    1706723    1832556     40       8  161035    -0.037439      0.51493
163688       1    1836698    1858735     10       3  161035     -0.94817      0.82848
